config1;config2;config3;config4;config5;config6;config7;config8;config9;config10;config11;config12;config13;config14;config15;config16;config17;config18;config19;config20;config21;config22;config23;config24
-4.154749229733837;-4.153015434131537;-4.152238188046273;-4.107109975863497;-4.0743635297656455;-4.155300626198044;-4.155809291836447;-4.155809291612902;-4.155809291631118;-4.148880370564176;-4.09338752531758;-4.135205102509885;-4.155511970858425;-4.133361683673763;-4.155119546305243;-4.018493554894534;-4.105779203923531;-4.1026626409163836;-4.15579372041789;-4.155809291831624;-4.155809291735243;-4.125361775698495;-4.09131472296392;-4.110578999268731
-4.127576736439488;-4.15548995777132;-4.154517631111292;-3.920839317783386;-4.067080425232445;-4.151145025629037;-4.15580929184774;-4.127576741310136;-4.155809290246837;-4.15576919781255;-4.084808945678019;-4.149166415956142;-4.126650146863493;-4.138462471809134;-4.15561732111765;-4.0495262994681624;-4.135854900156669;-4.131931661924628;-4.15580929184507;-4.155809268022607;-4.1558092918476985;-4.15100562093912;-4.125361065583518;-4.150864261460204
-4.154554084668958;-4.148674374563018;-4.154780257278442;-4.12066609895914;-4.114795620007914;-4.100029897500214;-4.127576741310136;-4.155809291613868;-4.155809291846105;-4.091004762117553;-4.144415299922106;-4.085761900784135;-4.155807273357485;-4.127472193528735;-4.154526901246257;-4.026386199330945;-4.121393762124232;-4.141365042187165;-4.155809291782043;-4.155809291847785;-4.1558092918354035;-4.104814579410886;-4.086492666559728;-4.121359771674331
-4.150246397768226;-4.1528510566338275;-4.15401968080079;-4.087275329225106;-4.122707308584198;-4.098037940914865;-4.155809291847781;-4.155809275324706;-4.155809287564686;-4.086257803599034;-4.1191841640739995;-4.09022885880138;-4.155424720380778;-4.153458859841962;-4.152338713016874;-4.071508945961201;-4.1009380324713;-4.103688053089414;-4.155806894506121;-4.155809291836535;-4.155809284955527;-4.154586848923511;-4.097547614508205;-4.155737844837946
-4.142008680631114;-4.155754876819822;-4.155385656561616;-4.078096646082512;-4.099731409228427;-4.136624634978243;-4.15580929184764;-4.155809291847786;-4.155809291824709;-4.0735511481316005;-4.090691263976291;-4.128354379580547;-4.155807934926072;-4.154778735636337;-4.1557145115444545;-4.133813337324019;-4.0747510142377585;-4.1320573797230296;-4.155809291847786;-4.149105109790157;-4.155809291737129;-4.115589915502155;-4.099428594269043;-4.150380544103374
-4.15362219473774;-4.152511558428414;-4.1528258589379385;-4.114656735570197;-4.1357782326599555;-4.092594150325706;-4.127576741310137;-4.155809291826331;-4.15580929183481;-4.152595152777362;-4.072361289883381;-4.111576041481053;-4.154475821042057;-4.1547953798453925;-4.15462985503244;-4.122191549242529;-4.084826527079821;-4.0882388605056805;-4.155809291847783;-4.15580929184778;-4.155809291836518;-4.12672776693144;-4.120242614014397;-4.131423756214393
-4.153134222615809;-4.155654394798637;-4.154576123417067;-4.070687843125318;-4.0738260127384605;-4.132101122428118;-4.1558092918477705;-4.155809291670684;-4.155809288988403;-4.057887370397794;-4.089138506253083;-4.100314773650973;-4.1319193457480825;-4.154940432197769;-4.15432131016864;-4.125100048163562;-4.138769104887068;-4.141535458111976;-4.155809291847786;-4.155809291840003;-4.1558092918329175;-4.155752151005233;-4.096907881113657;-4.126564421029348
-4.155688184800761;-4.151163181407301;-4.154585834731575;-4.095258153698733;-4.086354802027321;-4.05963308558514;-4.15580929184758;-4.155809290464114;-4.155809291796534;-4.145195534726708;-4.108239196666327;-4.092030893633133;-4.151061277781662;-4.1556669486536695;-4.154338101183652;-4.102064096558951;-4.100050960144;-4.083467378348014;-4.155809291847782;-4.155809291847767;-4.155809290781277;-4.123666160871817;-4.10341796540132;-4.127721770782244
-4.145953066608602;-4.155397364571755;-4.155390225940951;-4.11820130541318;-4.0748732857122265;-4.1391414746424235;-4.127576741310136;-4.1558092913489775;-4.1558092608986;-4.0628599546098885;-4.086344561629343;-4.128386488251364;-4.13553394376279;-4.155273630338566;-4.138046645842601;-4.111846769376475;-4.088919265655203;-4.101784775279562;-4.155809291847448;-4.127576741310137;-4.155809291802402;-4.133085891790408;-4.139332861696155;-4.153796295267183
-4.155280319014796;-4.15437796731036;-4.152106138813672;-4.123811023443806;-4.089626766619;-4.126952431084197;-4.155809291847775;-4.155809291818594;-4.155809291789923;-4.125610924791641;-4.121838145718492;-4.128932232851946;-4.1524207604679155;-4.143984356871334;-4.155620395732088;-4.098424035345558;-4.101544006868021;-4.086967686757643;-4.155809291831745;-4.155809291625154;-4.155809291846718;-4.155219467601079;-4.053208116885639;-4.154084985867922
-4.153460071659571;-4.151931627970232;-4.154464347178253;-4.132073508857668;-4.075953320977342;-4.120093290225363;-4.155809291847071;-4.155809291847065;-4.155809291622706;-4.150892377455249;-4.070034666503814;-4.098343170255618;-4.1500769943106315;-4.1273217037373735;-4.152274689811851;-3.9922067162796293;-4.1060608592316905;-4.134498957696881;-4.155809291560896;-4.155809291828632;-4.155809059647493;-4.108280582764554;-4.12142710089591;-4.147885026967992
